scheduler, buf_size, wl_idx, time_millis, solver_res
fq, 125, 186, 3306, SAT
fq, 125, 187, 5013, SAT
fq, 125, 188, 4509, SAT
fq, 125, 189, 5519, SAT
fq, 125, 190, 2615, SAT
fq, 125, 191, 2067, SAT
fq, 125, 192, 2621, SAT
fq, 125, 193, 1869, SAT
fq, 125, 194, 2863, SAT
fq, 125, 195, 1901, SAT
fq, 125, 196, 3759, SAT
fq, 125, 197, 4775, SAT
fq, 125, 198, 3286, SAT
fq, 125, 199, 4558, SAT
fq, 125, 200, 5690, SAT
fq, 125, 201, 3160, SAT
fq, 125, 202, 4052, SAT
fq, 125, 203, 4495, SAT
fq, 125, 204, 4714, SAT
fq, 125, 205, 6871, SAT
fq, 125, 206, 2742, SAT
fq, 125, 207, 4189, SAT
fq, 125, 208, 6313, SAT
fq, 125, 209, 3114, SAT
fq, 125, 210, 6235, SAT
fq, 125, 211, 4620, SAT
fq, 125, 212, 4881, SAT
fq, 125, 213, 4841, SAT
fq, 125, 214, 4384, SAT
fq, 125, 215, 2956, SAT
fq, 125, 216, 6363, SAT
fq, 125, 217, 4048, SAT
fq, 125, 218, 2457, SAT
fq, 125, 219, 5970, SAT
fq, 125, 220, 4649, SAT
fq, 125, 221, 6306, SAT
fq, 125, 222, 3033, SAT
fq, 125, 223, 5198, SAT
fq, 125, 224, 3451, SAT
fq, 125, 225, 4978, SAT
fq, 125, 226, 6026, SAT
fq, 125, 227, 4886, SAT
fq, 125, 228, 4525, SAT
fq, 125, 229, 4288, SAT
fq, 125, 230, 5355, SAT
fq, 125, 231, 3882, SAT
fq, 125, 232, 6885, SAT
fq, 125, 233, 4752, SAT
fq, 125, 234, 5972, SAT
fq, 125, 235, 2973, SAT
fq, 125, 236, 4288, SAT
fq, 125, 237, 4772, SAT
fq, 125, 238, 3718, SAT
fq, 125, 239, 5844, SAT
fq, 125, 240, 4061, SAT
fq, 125, 241, 4938, SAT
fq, 125, 242, 3292, SAT
fq, 125, 243, 3704, SAT
fq, 125, 244, 3035, SAT
fq, 125, 245, 4354, SAT
fq, 125, 246, 2016, UNSAT
fq, 125, 247, 1403, UNSAT
fq, 125, 248, 2282, UNSAT
fq, 125, 249, 1560, UNSAT
fq, 125, 250, 2368, SAT
fq, 125, 251, 3521, SAT
